      129	2023-07-31 07:20:36	39	0	1	0
      129	2023-07-31 07:20:39	39	0	1	0
      377	2023-07-31 07:25:42	39	0	1	0
       43	2023-07-31 07:26:17	39	0	1	0
     2425	2023-07-31 07:30:32	39	0	1	0
       80	2023-07-31 07:32:06	39	0	1	0
      124	2023-07-31 07:33:30	39	0	1	0
      649	2023-07-31 07:44:28	39	0	1	0
      649	2023-07-31 07:44:30	39	0	1	0
      251	2023-07-31 07:47:32	39	0	1	0
       96	2023-07-31 07:47:38	39	0	1	0
       96	2023-07-31 07:47:41	39	0	1	0
     2248	2023-07-31 07:48:20	39	0	1	0
      750	2023-07-31 07:50:59	39	0	1	0
       31	2023-07-31 07:53:22	39	0	1	0
      652	2023-07-31 07:53:45	39	0	1	0
      123	2023-07-31 07:53:49	39	0	1	0
       23	2023-07-31 07:55:23	39	0	1	0
      525	2023-07-31 07:55:44	39	0	1	0
      281	2023-07-31 07:57:31	39	0	1	0
       86	2023-07-31 08:11:38	39	0	1	0
      525	2023-07-31 12:00:06	39	1	1	0
     1893	2023-07-31 12:00:54	39	1	1	0
      377	2023-07-31 12:01:07	39	1	1	0
      525	2023-07-31 12:01:53	39	0	1	0
      129	2023-07-31 12:02:12	39	1	1	0
     2248	2023-07-31 12:02:56	39	1	1	0
       23	2023-07-31 12:03:04	39	1	1	0
     1893	2023-07-31 12:04:07	39	0	1	0
      377	2023-07-31 12:04:12	39	0	1	0
       23	2023-07-31 12:06:31	39	0	1	0
       96	2023-07-31 12:07:14	39	1	1	0
       96	2023-07-31 12:07:16	39	1	1	0
       96	2023-07-31 12:08:08	39	0	1	0
       96	2023-07-31 12:08:11	39	0	1	0
      129	2023-07-31 12:09:01	39	0	1	0
      251	2023-07-31 12:11:26	39	1	1	0
       80	2023-07-31 12:11:29	39	1	1	0
      124	2023-07-31 12:13:35	39	1	1	0
     2248	2023-07-31 12:13:59	39	0	1	0
       31	2023-07-31 12:15:28	39	1	1	0
       31	2023-07-31 12:15:33	39	4	1	0
      123	2023-07-31 12:16:37	39	1	1	0
      124	2023-07-31 12:17:39	39	0	1	0
      652	2023-07-31 12:20:29	39	1	1	0
      652	2023-07-31 12:20:44	39	1	1	0
      750	2023-07-31 12:20:50	39	1	1	0
       43	2023-07-31 12:21:00	39	1	1	0
       43	2023-07-31 12:21:54	39	0	1	0
      750	2023-07-31 12:22:15	39	0	1	0
     2425	2023-07-31 12:22:53	39	1	1	0
      649	2023-07-31 12:24:04	39	1	1	0
      281	2023-07-31 12:31:19	39	1	1	0
      649	2023-07-31 12:31:51	39	0	1	0
     2425	2023-07-31 12:32:05	39	0	1	0
      281	2023-07-31 12:32:26	39	0	1	0
       80	2023-07-31 12:32:40	39	0	1	0
      251	2023-07-31 12:32:50	39	0	1	0
      123	2023-07-31 12:35:39	39	0	1	0
      652	2023-07-31 12:48:08	39	0	1	0
      652	2023-07-31 17:00:04	39	0	1	0
      652	2023-07-31 17:00:10	39	1	1	0
      652	2023-07-31 17:00:14	39	1	1	0
     2425	2023-07-31 17:00:18	39	1	1	0
      525	2023-07-31 17:00:20	39	1	1	0
      750	2023-07-31 17:00:28	39	1	1	0
      377	2023-07-31 17:00:33	39	1	1	0
      251	2023-07-31 17:01:23	39	1	1	0
     2248	2023-07-31 17:01:37	39	1	1	0
     2248	2023-07-31 17:01:41	39	1	1	0
       43	2023-07-31 17:01:50	39	1	1	0
      124	2023-07-31 17:02:05	39	1	1	0
      123	2023-07-31 17:03:33	39	1	1	0
      129	2023-07-31 17:03:38	39	1	1	0
       23	2023-07-31 17:03:44	39	1	1	0
     1893	2023-07-31 17:03:51	39	1	1	0
      129	2023-07-31 17:04:22	39	1	1	0
